method,size,time
RankedFTP,1024,1251.0
RankedFTP,1024,1072.0
RankedFTP,1024,1129.0
RankedFTP,1024,1951.0
RankedFTP,1024,1210.0
RankedFTP,1024,1235.0
RankedFTP,1024,1231.0
RankedFTP,1024,1232.0
RankedFTP,1024,1189.0
RankedFTP,1024,1131.0
RankedFTP,1024,1154.0
RankedFTP,1024,1230.0
RankedFTP,1024,1203.0
RankedFTP,1024,1165.0
RankedFTP,1024,1165.0
RankedFTP,1024,1170.0
RankedFTP,1024,1339.0
RankedFTP,1024,1743.0
RankedFTP,1024,1843.0
RankedFTP,1024,1186.0
ClassicalHuffman+FTP,1024,1246.0
ClassicalHuffman+FTP,1024,2255.0
ClassicalHuffman+FTP,1024,1192.0
ClassicalHuffman+FTP,1024,1236.0
ClassicalHuffman+FTP,1024,1192.0
ClassicalHuffman+FTP,1024,1231.0
ClassicalHuffman+FTP,1024,1451.0
ClassicalHuffman+FTP,1024,1434.0
ClassicalHuffman+FTP,1024,1638.0
ClassicalHuffman+FTP,1024,2058.0
ClassicalHuffman+FTP,1024,1569.0
ClassicalHuffman+FTP,1024,1847.0
ClassicalHuffman+FTP,1024,1229.0
ClassicalHuffman+FTP,1024,2563.0
ClassicalHuffman+FTP,1024,1230.0
ClassicalHuffman+FTP,1024,1130.0
ClassicalHuffman+FTP,1024,1126.0
ClassicalHuffman+FTP,1024,1187.0
ClassicalHuffman+FTP,1024,1165.0
ClassicalHuffman+FTP,1024,1164.0
FTPS,1024,2151.0
FTPS,1024,2462.0
FTPS,1024,2150.0
FTPS,1024,4405.0
FTPS,1024,2664.0
FTPS,1024,3600.0
FTPS,1024,2765.0
FTPS,1024,2251.0
FTPS,1024,3175.0
FTPS,1024,2137.0
FTPS,1024,2149.0
FTPS,1024,2150.0
FTPS,1024,2966.0
FTPS,1024,2047.0
FTPS,1024,3175.0
FTPS,1024,2532.0
FTPS,1024,2046.0
FTPS,1024,2167.0
FTPS,1024,1981.0
FTPS,1024,2154.0
RankedFTP,2048,1234.0
RankedFTP,2048,1236.0
RankedFTP,2048,1951.0
RankedFTP,2048,1132.0
RankedFTP,2048,1234.0
RankedFTP,2048,1131.0
RankedFTP,2048,1235.0
RankedFTP,2048,1195.0
RankedFTP,2048,1239.0
RankedFTP,2048,1231.0
RankedFTP,2048,1195.0
RankedFTP,2048,1230.0
RankedFTP,2048,1193.0
RankedFTP,2048,1231.0
RankedFTP,2048,1175.0
RankedFTP,2048,1166.0
RankedFTP,2048,1129.0
RankedFTP,2048,1230.0
RankedFTP,2048,1148.0
RankedFTP,2048,1233.0
