method,size,time
ClassicalHuffman+FTP,256,1314
ClassicalHuffman+FTP,256,1230
ClassicalHuffman+FTP,256,1125
ClassicalHuffman+FTP,512,1231
ClassicalHuffman+FTP,512,1238
ClassicalHuffman+FTP,512,1204
ClassicalHuffman+FTP,1024,1230
ClassicalHuffman+FTP,1024,1226
ClassicalHuffman+FTP,1024,1197
ClassicalHuffman+FTP,2048,1156
ClassicalHuffman+FTP,2048,1231
ClassicalHuffman+FTP,2048,1238
ClassicalHuffman+FTP,4096,1176
ClassicalHuffman+FTP,4096,1160
ClassicalHuffman+FTP,4096,1239
ClassicalHuffman+FTP,8192,1540
ClassicalHuffman+FTP,8192,1638
ClassicalHuffman+FTP,8192,1494
ClassicalHuffman+FTP,16384,1593
ClassicalHuffman+FTP,16384,1540
ClassicalHuffman+FTP,16384,1438
ClassicalHuffman+FTP,32768,1855
ClassicalHuffman+FTP,32768,1849
ClassicalHuffman+FTP,32768,1922
RankedFTP,256,1353
RankedFTP,256,1333
RankedFTP,256,1196
RankedFTP,512,1219
RankedFTP,512,1127
RankedFTP,512,1234
RankedFTP,1024,1213
RankedFTP,1024,1164
RankedFTP,1024,1179
RankedFTP,2048,1183
RankedFTP,2048,1234
RankedFTP,2048,1240
RankedFTP,4096,1184
RankedFTP,4096,1236
RankedFTP,4096,1270
RankedFTP,8192,1611
RankedFTP,8192,1848
RankedFTP,8192,1476
RankedFTP,16384,1332
RankedFTP,16384,1556
RankedFTP,16384,4466
RankedFTP,32768,2065
RankedFTP,32768,1890
RankedFTP,32768,1865
FTPS,256,2252
FTPS,256,1882
FTPS,256,3724
FTPS,512,5552
FTPS,512,2520
FTPS,512,2582
FTPS,1024,2119
FTPS,1024,2870
FTPS,1024,1998
FTPS,2048,2078
FTPS,2048,1932
FTPS,2048,5205
FTPS,4096,3102
FTPS,4096,2642
FTPS,4096,2531
FTPS,8192,2363
FTPS,8192,2562
FTPS,8192,2722
FTPS,16384,3004
FTPS,16384,4233
FTPS,16384,3617
FTPS,32768,3781
FTPS,32768,3069
FTPS,32768,5735
